"HGNC.symbol","GSM3440208","GSM3440209","GSM3440210","GSM3440211","GSM3440212","GSM3440213","GSM3440215","GSM3440216","GSM3440218","GSM3440219","GSM3440220","GSM3440221","GSM3440225"
"MIR675",4.40344,5.25464,4.62142,4.80011,5.05746,4.81877,4.75224,4.39784,4.79667,4.62602,4.53706,4.56425,4.64815
"MIR6752",6.44837,5.81346,5.95561,5.83258,5.89401,5.96553,5.66829,6.40137,6.01324,6.08628,6.23264,5.88559,6.05466
"MIR676",1.71734,1.65842,2.02699,2.01753,2.02289,1.52211,2.02762,1.49986,2.53682,1.38572,2.02023,1.5702,1.62803
"MIR6777",6.40543,6.47311,6.77155,6.46537,6.68164,6.48241,6.86831,6.57213,6.56152,6.19249,6.00868,6.44812,6.81195
"MIR6833",6.28904166666667,6.563125,6.16224,6.65860666666667,6.18922333333333,6.39670166666667,6.25907666666667,6.463595,6.217865,6.35427666666667,6.39411,6.253395,6.17795166666667
"MIR6834",4.981032,4.744658,4.937422,4.917016,4.88849,4.857536,4.768356,4.878322,4.906954,4.842578,4.794886,5.017226,4.750158
"MIR6841",3.62477,3.52076,4.05407,3.63621,3.54505,4.29402,3.71584,3.47653,3.6097,3.34057,3.61426,3.22643,3.6781
"MIR6847",5.16081,5.09232,4.79077,4.96873,4.85482,4.8034,5.18228,4.90186,4.88697,4.95164,4.95141,5.01447,5.20447
"MIR6849",4.60086,5.52734,4.67261,5.54056,4.95073,5.07369,4.84188,4.68221,4.47237,4.92624,3.60532,4.70935,5.31252
"MIR6850",6.09057,5.72141,6.04434,5.97536,5.73818,6.01633,5.51501,5.76528,5.93036,5.91856,5.77054,5.96023,5.75994
"MIR6853",6.13485,5.65438,5.65453,5.70285,5.52699,5.74446,5.68845,5.91144,5.73904,5.76165,5.78611,5.82047,5.78648
"MIR6859-1",8.31251,8.08316,7.91749,7.8175,7.7766,8.01964,7.9903,8.00409,8.23269,8.15766,7.96777,7.78973,7.92058
"MIR6891",9.41812333333333,9.62047333333333,9.25018333333333,8.77991,8.96565666666667,9.07855,9.13286,9.86849,9.05510333333333,9.09085333333333,9.76684666666667,9.53216,9.8086
"MIR7-1",3.72165,3.23127,3.97297,3.71178,3.57171,3.50623,3.68357,3.82542,3.78512,3.97077,3.75696,3.56246,3.924
"MIR7-2",1.79266,1.66439,1.6567,1.84731,1.4253,1.84038,1.52498,1.48162,1.81968,1.69714,2.41163,2.18787,1.91114
"MIR7-3",1.45342,1.4658,1.57367,1.34131,1.42034,1.54438,1.60269,1.58051,1.42996,1.70017,1.40132,1.56483,1.59061
"MIR7-3HG",4.14283,4.09097,3.81611,3.70812,4.23242,4.07306,4.23704,3.59818,4.04658,4.23976,4.14695,4.15289,4.25186
"MIR708",2.73785,2.75901,2.58874,3.18835,2.56855,2.87025,2.67676,2.91469,3.03853,3.15156,3.10974,2.71698,2.54137
"MIR711",3.92768,3.67081,3.83987,4.1603,4.70209,4.40143,4.4495,4.12409,4.37805,4.12045,3.6326,4.11905,3.97538
"MIR7113",5.78648,5.4511,5.46336,5.85738,5.65074,5.57689,5.78891,5.75943,5.87768,5.56617,5.72752,5.74003,5.65173
"MIR7162",4.81912,4.48409,4.26808,4.57588,4.52991,4.27613,4.62198,4.68593,4.59049,4.60291,4.40949,4.36802,4.7638
"MIR744",4.89271,5.20069,5.06262,5.25442,5.00222,4.88718,5.4819,5.05063,5.27177,5.20888,5.28213,5.26833,5.17679
"MIR758",2.994428,2.939424,2.59709,2.87095,2.676116,2.816456,2.745884,2.4853634,2.819834,3.021878,2.630854,2.887816,3.188556
"MIR759",1.00016,0.895404,0.926883,0.848969,1.22499,0.944375,0.959923,0.970363,0.972158,0.850681,1.38486,0.955307,1.11919
"MIR760",5.10205,4.95516,4.84939,4.90435,4.73367,4.88984,4.94388,4.80842,4.9973,4.84947,4.77458,4.80304,4.61169
"MIR761",3.16954,2.82112,3.14612,2.98922,3.12397,2.97789,3.18523,3.07322,3.05339,3.15082,2.70703,3.32178,2.47353
"MIR764",2.88439,3.07352,2.48591,2.79872,2.83373,2.67138,2.87465,2.78921,2.83064,3.0042,2.7792,2.70585,2.90446
"MIR765",4.15715,4.01147,4.21932,3.92928,4.60731,4.14034,3.98773,4.53144,4.134,4.38491,4.59942,4.45561,4.2362
"MIR766",4.83503,4.82311,4.71437,4.99663,4.44377,4.6567,4.52452,4.38161,4.8189,4.56643,3.60064,4.28187,4.63329
"MIR767",1.95231,2.1213,1.98822,2.03194,2.2728,1.65347,2.37527,2.25024,1.99014,2.08795,2.13651,1.94871,1.95113
"MIR769",3.64836,3.69781,3.69221,4.03396,3.75532,3.81895,3.69898,3.68669,4.10255,3.49968,3.64703,3.61082,3.64972
"MIR770",4.09915,4.446,4.65429,4.69915,4.31626,4.22231,4.11091,4.16091,4.52506,4.40688,4.11184,4.59069,4.77653
"MIR7704",3.4807,3.5546,3.34476,3.5662,3.52535,3.48686,3.57617,3.57723,3.74088,3.83274,3.63053,3.67093,3.61739
"MIR802",2.49623,2.65912,2.16035,2.32485,2.12891,2.78767,2.35508,2.5279,2.41236,2.22509,2.34487,2.63598,2.12689
"MIR8069-1",1.82985,1.6557,2.0869,1.79089,2.21311,1.96518,2.27452,1.95088,1.71781,1.83669,1.94615,2.05493,1.85533
"MIR8069-2",1.82985,1.6557,2.0869,1.79089,2.21311,1.96518,2.27452,1.95088,1.71781,1.83669,1.94615,2.05493,1.85533
"MIR873",1.45034,1.59175,1.941,2.54586,1.91587,2.27009,2.59553,2.31644,1.52254,1.4355,2.49166,1.51358,2.25043
"MIR874",3.11173,2.51068,2.79842,3.01512,2.77697,3.30003,2.71128,3.09144,2.89266,2.8832,2.76877,2.89231,3.06036
"MIR875",2.07346,2.20823,2.010155,2.148545,2.047275,1.89384,2.462595,1.99364,1.919495,2.281655,2.20986,2.483665,2.255665
"MIR876",1.20041,0.807044,1.04941,1.12828,1.20114,0.942888,0.997207,1.21995,1.096,1.24695,1.31862,1.08465,1.09482
"MIR877",5.23922142857143,5.33124714285714,4.55365,5.27217857142857,4.96952285714286,5.25525714285714,4.83385714285714,5.19104714285714,5.33564285714286,5.34015428571429,5.03000142857143,5.08540428571429,5.73172428571429
"MIR885",3.97968,3.70586,3.41171,3.58056,3.40211,3.94144,3.25826,4.08969,4.02846,3.57027,4.04936,4.28477,3.4821
"MIR887",3.56473,3.65192,3.29253,3.69518,3.36401,3.4151,3.75276,3.25452,3.6642,3.29515,3.48451,3.61747,3.7984
"MIR888",1.99741,2.200505,2.285575,2.22748,2.14876,2.012595,2.202855,1.89793,2.289975,2.356495,1.825745,2.010305,2.30235
"MIR889",2.45475333333333,2.62521,2.53385,2.13917333333333,2.47782,2.67008333333333,2.48867666666667,2.59369333333333,2.5469,2.59906,2.34465333333333,2.9433,2.60807666666667
"MIR890",1.99741,2.200505,2.285575,2.22748,2.14876,2.012595,2.202855,1.89793,2.289975,2.356495,1.825745,2.010305,2.30235
"MIR891A",8.0762,9.0899,6.80955,8.98812,8.34868,8.3385,7.56557,7.73793,8.44666,8.5029,8.49562,8.22671,8.74821
"MIR891B",0.765192,0.951007,1.03145,0.880145,1.21822,1.04815,0.833882,1.08661,0.997307,0.956638,1.11911,1.02899,0.582284
"MIR892A",1.3467845,1.4727395,1.2694095,0.9192365,1.083794,1.0283345,0.953799,1.406453,1.0502525,1.2547815,1.260358,1.4906515,1.315455
"MIR892B",1.3467845,1.4727395,1.2694095,0.9192365,1.083794,1.0283345,0.953799,1.406453,1.0502525,1.2547815,1.260358,1.4906515,1.315455
"MIR892C",1.9091,2.26474,1.91717,1.98475,1.64737,2.06041,2.59751,1.59836,1.80267,2.08847,2.31527,2.38936,2.38159
"MIR9-1",3.03229,3.65196,3.25049,4.10835,3.19516,3.46093,3.56218,3.32567,4.10241,3.77165,3.02896,3.2337,3.09075
"MIR9-3",3.35068,3.48797,3.37975,3.75004,3.11116,3.51839,3.54548,3.38703,3.95455,3.58923,4.00439,3.67781,3.75004
"MIR920",4.20746,3.7184,3.36206,3.53044,3.17783,3.43741,3.63209,3.24061,3.64245,3.73002,3.12108,3.58242,3.80132
"MIR921",2.40345,2.58526,2.38416,3.55517,2.93412,2.49996,3.05161,2.79375,2.63257,2.56172,2.67484,3.42379,3.76289
"MIR924",2.58272,2.44189,2.86349,2.22525,2.104,2.26168,2.5136,2.70088,3.09523,2.37028,3.67027,2.58344,2.80122
"MIR92A1",2.77796,2.76,3.41387,2.57482,2.48189,2.62492,2.56972,3.13181,2.71797,2.53963,2.99016,2.87962,2.57467
"MIR92A2",1.1454555,1.31537116666667,1.39669466666667,1.22918733333333,1.10624666666667,1.17593033333333,1.13767833333333,1.15635866666667,1.07867466666667,1.10186333333333,1.07165833333333,1.24879266666667,1.06272783333333
"MIR92B",5.48296,5.93361,5.41637,5.91842,5.87748,5.8977,5.90762,5.94335,5.8305,5.98001,6.00356,5.42388,6.25482
"MIR93",4.64820666666667,4.34023666666667,4.44174,4.45428,4.28433,4.37590666666667,4.35827666666667,4.30885666666667,4.57187666666667,4.49667333333333,4.53284,4.22877333333333,4.68293
