"HGNC.symbol","GSM3440214","GSM3440217","GSM3440222","GSM3440223","GSM3440224"
"VPS18",5.85774,5.82909,6.05607,5.68271,5.92331
"VRTN",3.63056,3.78276,3.72692,3.54214,3.92793
"VSTM1",6.54338,5.65383,5.74335,5.48329,5.52131
"VSTM2B",4.58686,4.7999,4.92253,4.81021,4.9025
"VSX1",2.85734,3.22291,3.06093,3.45739,3.2601
"VSX2",4.03213,4.87064,4.35303,4.36406,4.54248
"VTRNA2-1",2.8713,3.10248,2.25416,2.7101,2.6082
"VWA5B1",3.90893,3.9797,3.8212,3.80961,4.28737
"VWC2",3.59827,4.03504,3.74452,3.8401,3.92291
"WAPL",7.65206,7.52627,7.41402,7.35091,7.44657
"WAS",9.66744,9.56113,9.48027,9.05725,9.37124
"WDCP",5.21111,4.94368,5.10832,5.24343,5.1761
"WDR13",4.86638,4.97295,4.85594,4.8017,4.93531
"WDR17",2.56787,2.85228,2.45742,2.57355,2.61677
"WDR18",5.59852,5.46504,5.70745,5.64644,5.8784
"WDR20",5.38655,5.37201,5.25532,4.91607,5.19659
"WDR25",4.88189,5.19747,5.21264,5.21095,5.08173
"WDR36",6.88342,6.27589,6.76394,6.95714,6.69292
"WDR6",4.8745,4.84236,4.65604,4.83337,4.76098
"WDR63",2.42676,2.279035,2.275635,2.38222,2.327455
"WDR76",4.83032,4.81456,4.84227,5.09651,4.66463
"WDTC1",7.86128,8.20525,7.69407,7.5658,7.83084
"WHRN",4.66446,4.71451,4.79158,4.83894,4.76669
"WNT2",2.70359,3.25417,3.13907,3.22967,3.23439
"WNT3",4.34193333333333,4.40797333333333,4.44229666666667,4.52628333333333,4.62890666666667
"WNT6",4.27495,4.4656,4.0567,4.34898,4.30645
"WNT9B",3.65467,3.94072,3.90007,3.81925,3.9329
"WSCD2",3.34504,4.15985,3.84996,3.53926,3.84035
"XKR9",2.45839,2.42376,2.4623,2.41853,2.32778
"XPA",5.40128,5.10042,5.3094,5.82868,5.21125
"XPNPEP1",6.17176,5.90357,5.85065,6.20266,5.95214
"XPO5",5.61394,5.32289,5.66277,5.28025,5.6245
"XRCC3",4.02466,4.13083,4.02555,4.29085,4.01889
"XRN2",7.78637,7.22329,7.83408,7.30447,7.68923
"XYLT1",7.2895,6.94782,7.07005,6.55675,6.58392
"YARS",5.2927,4.79278,4.99916,4.93078,5.11305
"YBX3P1",8.97682,9.87171,8.51317,9.51657,8.94427
"YIPF3",6.64709,6.66389,6.59796,6.22358,6.75512
"YIPF5",6.60272,6.39179,6.69493,6.53164,6.76322
"YIPF7",3.428,3.04979,3.36264,3.6398,3.25234
"YPEL2",6.74759,5.9014,6.43534,6.19011,6.29577
"YWHAEP7",2.52041,2.4254,2.28953,2.12961,2.70547
"YWHAZ",9.90184,9.60926,9.8032,9.7581,9.748255
"ZADH2",6.20052,6.31888,6.4456,6.38647,6.46399
"ZAN",3.95756,4.14328,4.36539,4.27752,4.10956
"ZBED5",6.54433,6.35392,6.52945,6.71906,6.4812
"ZBED5-AS1",3.98247,3.72112,3.96854,4.05068,4.00599
"ZBP1",6.17386,6.23208,6.08927,5.80509,5.6215
"ZBTB16",4.90459,4.69526,4.91994,4.64189,4.78972
